,COMPOUND_ID,PCT_IHB_3D7,pXC50_3D7,SMILES
0,541908,94.0,6.09857,COc1ccc(c(c1)OC)C2CCN(CC2)CCN3CCC(CC3)NC(=O)c4cccc(c4)c5ccncc5
1,538495,100.0,6.00393,C[C@H](c1ccccc1Cl)Oc2cc(sc2C(=O)N)n3cnc4c3cc(cc4)NC(=O)CCN5CCCCC5
2,538533,100.0,6.799580000000001,COc1ccc2c(c1)c(ccn2)[C@H](CN3CCC(CC3)NCCOc4cccc(c4)C(F)(F)F)O.C(=O)(C(=O)O)O
3,538571,91.0,5.96201,COc1ccc(cc1)N(c2nc(cs2)c3cc(ccc3Cl)Cl)C4CCNCC4.C(=O)(C(F)(F)F)O
4,538605,99.0,6.44885,CCN1CCN(C(=O)C1=O)C(=O)NC(c2cccs2)C(=O)N(C)Cc3ccc(cc3)c4ccc(cc4)C(F)(F)F
5,541526,99.0,6.12396,CCOC(=O)c1c2ccc(c(c2sc1NC(=O)c3ccccc3)O)CNC4CCCCC4
6,541532,97.0,6.09866,Cc1c(c2ccccc2[nH]1)C3=CCN(CC3)CCN4CCOc5c(cccc5Br)C4=O
7,538721,95.0,6.1111,c1ccnc(c1)c2csc(n2)Nc3ccc(cn3)Cl
8,538723,98.0,6.1258099999999995,c1ccc(cc1)OCCn2cc(c3c2cccc3)C(=O)c4ccco4
9,538726,89.0,6.06405,Cc1ccccc1CN2CCCN(CC2)Cc3ccc(cc3)C(=O)Nc4ccc(cc4)C(C)(C)C.C(=O)(C(F)(F)F)O
10,538727,87.0,6.03322,Cc1c(c2ccccc2[nH]1)C=NNc3nc(nc(n3)Nc4ccccc4)Nc5ccccc5
11,538729,95.0,6.22981,CC(C)(C)CC(C)(C)c1ccc(c(c1)C(=O)Nc2cccc(c2)N(=O)=O)O
12,543079,85.0,5.92355,c1ccc2c(c1)c(c[nH]2)C3CCN(CC3)CC4CCC(CC4)NC(=O)C5(c6ccccc6-c7c5cccc7)O
13,540728,89.0,6.45464,CC(C)CC(=O)Nc1cc(=O)[nH]c2n1nc(n2)c3ccccc3
14,538174,98.0,7.19707,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](c3cc(nc4c3cc(cc4)OC)Cl)O
15,538179,97.0,6.04221,Cc1cccc2c1[nH]c(n2)c3ccc(s3)c4ccc(cc4)CN5CCC(CC5)C(=O)N.C(=O)(C(F)(F)F)O
16,541436,99.0,6.1582,CCCCCCOc1ccc(cc1)C(=O)N[C@H]2CCN(C2)CCCCCNC(=O)/C=C/c3ccc(c(c3)Cl)Cl
17,542371,99.0,6.7334,Cc1cc2c(cc1Cl)nc([nH]2)c3ccc(cc3F)C(=O)NCCCN4CCN(CC4)c5cc(ccc5OC)Cl
18,538019,87.0,6.0259599999999995,CCN(CC)CCN(Cc1ccc(cc1)c2ccc(cc2)C(F)(F)F)C(=O)Cn3c4ccccc4c(=O)c(c3CCc5cccc(c5F)F)C.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
19,541397,100.0,6.972060000000001,Cc1cccc(c1N(Cc2nc(cs2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)C(=O)C)C
20,538056,100.0,6.501180000000001,c1ccc(c(c1)C(=O)NCCCNc2ccnc3c2ccc(c3)Cl)F
21,542367,100.0,6.10162,C[C@@H]1CCCCN1CCCNC(=O)/C(=C/C=C/c2cc3cc(c(cc3[nH]2)Cl)Cl)/OC
22,538142,89.0,6.364669999999999,c1[nH]c2c(n1)c(nc(n2)F)N
23,537558,87.0,5.97915,Cc1cc(c2ccccc2n1)OCCCN3CCC(C3)NS(=O)(=O)c4ccc(c(c4)Cl)Cl
24,538670,97.0,6.08427,COc1ccc2c(n1)c(ccn2)N3CCCN(CC3)CCNS(=O)(=O)c4ccc5c(c4)NC(=O)CS5.Cl
25,538706,87.0,6.03595,c1ccc(cc1)COc2ccccc2COc3ccccc3c4ccc5cccnc5n4
26,538744,91.0,5.80898,CC(c1ccc2cc(ccc2c1)OC)NC3CCN(CC3)c4cccc(c4)NC(=O)c5ccncc5
27,538196,100.0,6.22351,c1c(nc(s1)NC(=N)N)CCCCCCCCc2csc(n2)NC(=N)N
28,538201,99.0,6.05651,Cc1cc(nn1Cc2cc(ccc2OCC(C)C)Cl)c3[nH]c4cc(ccc4n3)N5CCN(CC5)C.Cl
29,538237,99.0,6.13397,c1ccc(cc1)c2cnnc(n2)N3C(CC(=N3)c4ccccc4)(C(F)(F)F)O
30,538241,96.0,6.27295,CCC[C@@H]([C@@H](CC1CCCCC1)C(=O)N[C@@H]([C@H](C)CC)C(=O)Nc2ccccn2)N(C=O)O
